conditionKey,conditionLabel,effectKey,effectLabel,effectText,maskActionTypes,effectKind,mechanicalStatus,adjudicationNote,sourceSection
blinded,Blinded,cant-see,Can't See,You can't see and automatically fail any ability check that requires sight.,,,,,Rules Glossary: Blinded [Condition]
blinded,Blinded,attacks-affected,Attacks Affected,"Attack rolls against you have Advantage, and your attack rolls have Disadvantage.",,,,,Rules Glossary: Blinded [Condition]
charmed,Charmed,cant-harm-the-charmer,Can't Harm the Charmer,You can't attack the charmer or target the charmer with damaging abilities or magical effects.,,,,,Rules Glossary: Charmed [Condition]
charmed,Charmed,social-advantage,Social Advantage,The charmer has Advantage on any ability check to interact with you socially.,,,,,Rules Glossary: Charmed [Condition]
deafened,Deafened,cant-hear,Can't Hear,You can't hear and automatically fail any ability check that requires hearing.,,,,,Rules Glossary: Deafened [Condition]
exhaustion,Exhaustion,exhaustion-levels,Exhaustion Levels,"This condition is cumulative. Each time you receive it, you gain 1 Exhaustion level. You die if your Exhaustion level is 6.",,,,,Rules Glossary: Exhaustion [Condition]
exhaustion,Exhaustion,d20-tests-affected,D20 Tests Affected,"When you make a D20 Test, the roll is reduced by 2 times your Exhaustion level.",,,,,Rules Glossary: Exhaustion [Condition]
exhaustion,Exhaustion,speed-reduced,Speed Reduced,Your Speed is reduced by a number of feet equal to 5 times your Exhaustion level.,,,,,Rules Glossary: Exhaustion [Condition]
exhaustion,Exhaustion,removing-exhaustion-levels,Removing Exhaustion Levels,"Finishing a Long Rest removes 1 of your Exhaustion levels. When your Exhaustion level reaches 0, the condition ends.",,,,,Rules Glossary: Exhaustion [Condition]
frightened,Frightened,ability-checks-and-attacks-affected,Ability Checks and Attacks Affected,You have Disadvantage on ability checks and attack rolls while the source of fear is within line of sight.,,,,,Rules Glossary: Frightened [Condition]
frightened,Frightened,cant-approach,Can't Approach,You can't willingly move closer to the source of fear.,,,,,Rules Glossary: Frightened [Condition]
grappled,Grappled,speed-0,Speed 0,Your Speed is 0 and can't increase.,,,,,Rules Glossary: Grappled [Condition]
grappled,Grappled,attacks-affected,Attacks Affected,You have Disadvantage on attack rolls against any target other than the grappler.,,,,,Rules Glossary: Grappled [Condition]
grappled,Grappled,movable,Movable,"The grappler can drag or carry you when it moves, but every foot of movement costs it 1 extra foot unless you are Tiny or two or more sizes smaller than it.",,,,,Rules Glossary: Grappled [Condition]
incapacitated,Incapacitated,inactive,Inactive,"You can't take any action, Bonus Action, or Reaction.",,,,,Rules Glossary: Incapacitated [Condition]
incapacitated,Incapacitated,no-concentration,No Concentration,Your Concentration is broken.,,,,,Rules Glossary: Incapacitated [Condition]
incapacitated,Incapacitated,speechless,Speechless,You can't speak.,,,,,Rules Glossary: Incapacitated [Condition]
incapacitated,Incapacitated,surprised,Surprised,"If you're Incapacitated when you roll Initiative, you have Disadvantage on the roll.",,,,,Rules Glossary: Incapacitated [Condition]
invisible,Invisible,surprise,Surprise,"If you're Invisible when you roll Initiative, you have Advantage on the roll.",,,,,Rules Glossary: Invisible [Condition]
invisible,Invisible,concealed,Concealed,You aren't affected by any effect that requires its target to be seen unless the effect's creator can somehow see you. Any equipment you are wearing or carrying is also concealed.,,,,,Rules Glossary: Invisible [Condition]
invisible,Invisible,attacks-affected,Attacks Affected,"Attack rolls against you have Disadvantage, and your attack rolls have Advantage. If a creature can somehow see you, you don't gain this benefit against that creature.",,,,,Rules Glossary: Invisible [Condition]
paralyzed,Paralyzed,incapacitated,Incapacitated,You have the Incapacitated condition.,,,,,Rules Glossary: Paralyzed [Condition]
paralyzed,Paralyzed,speed-0,Speed 0,Your Speed is 0 and can't increase.,,,,,Rules Glossary: Paralyzed [Condition]
paralyzed,Paralyzed,saving-throws-affected,Saving Throws Affected,You automatically fail Strength and Dexterity saving throws.,,,,,Rules Glossary: Paralyzed [Condition]
paralyzed,Paralyzed,attacks-affected,Attacks Affected,Attack rolls against you have Advantage.,,,,,Rules Glossary: Paralyzed [Condition]
paralyzed,Paralyzed,automatic-critical-hits,Automatic Critical Hits,Any attack roll that hits you is a Critical Hit if the attacker is within 5 feet of you.,,,,,Rules Glossary: Paralyzed [Condition]
petrified,Petrified,turned-to-inanimate-substance,Turned to Inanimate Substance,"You are transformed, along with any nonmagical objects you are wearing and carrying, into a solid inanimate substance (usually stone). Your weight increases by a factor of ten, and you cease aging.",,,,,Rules Glossary: Petrified [Condition]
petrified,Petrified,incapacitated,Incapacitated,You have the Incapacitated condition.,,,,,Rules Glossary: Petrified [Condition]
petrified,Petrified,speed-0,Speed 0,Your Speed is 0 and can't increase.,,,,,Rules Glossary: Petrified [Condition]
petrified,Petrified,attacks-affected,Attacks Affected,Attack rolls against you have Advantage.,,,,,Rules Glossary: Petrified [Condition]
petrified,Petrified,saving-throws-affected,Saving Throws Affected,You automatically fail Strength and Dexterity saving throws.,,,,,Rules Glossary: Petrified [Condition]
petrified,Petrified,resist-damage,Resist Damage,You have Resistance to all damage.,,,,,Rules Glossary: Petrified [Condition]
petrified,Petrified,poison-immunity,Poison Immunity,You have Immunity to the Poisoned condition.,,,,,Rules Glossary: Petrified [Condition]
poisoned,Poisoned,ability-checks-and-attacks-affected,Ability Checks and Attacks Affected,You have Disadvantage on attack rolls and ability checks.,,,,,Rules Glossary: Poisoned [Condition]
prone,Prone,restricted-movement,Restricted Movement,"Your only movement options are to crawl or to spend an amount of movement equal to half your Speed (round down) to right yourself and thereby end the condition. If your Speed is 0, you can't right yourself.",,,,,Rules Glossary: Prone [Condition]
prone,Prone,attacks-affected,Attacks Affected,"You have Disadvantage on attack rolls. An attack roll against you has Advantage if the attacker is within 5 feet of you. Otherwise, that attack roll has Disadvantage.",,,,,Rules Glossary: Prone [Condition]
restrained,Restrained,speed-0,Speed 0,Your Speed is 0 and can't increase.,,,,,Rules Glossary: Restrained [Condition]
restrained,Restrained,attacks-affected,Attacks Affected,"Attack rolls against you have Advantage, and your attack rolls have Disadvantage.",,,,,Rules Glossary: Restrained [Condition]
restrained,Restrained,saving-throws-affected,Saving Throws Affected,You have Disadvantage on Dexterity saving throws.,,,,,Rules Glossary: Restrained [Condition]
stunned,Stunned,incapacitated,Incapacitated,You have the Incapacitated condition.,,,,,Rules Glossary: Stunned [Condition]
stunned,Stunned,saving-throws-affected,Saving Throws Affected,You automatically fail Strength and Dexterity saving throws.,,,,,Rules Glossary: Stunned [Condition]
stunned,Stunned,attacks-affected,Attacks Affected,Attack rolls against you have Advantage.,,,,,Rules Glossary: Stunned [Condition]
unconscious,Unconscious,inert,Inert,"You have the Incapacitated and Prone conditions, and you drop whatever you're holding. When this condition ends, you remain Prone.",,,,,Rules Glossary: Unconscious [Condition]
unconscious,Unconscious,speed-0,Speed 0,Your Speed is 0 and can't increase.,,,,,Rules Glossary: Unconscious [Condition]
unconscious,Unconscious,attacks-affected,Attacks Affected,Attack rolls against you have Advantage.,,,,,Rules Glossary: Unconscious [Condition]
unconscious,Unconscious,saving-throws-affected,Saving Throws Affected,You automatically fail Strength and Dexterity saving throws.,,,,,Rules Glossary: Unconscious [Condition]
unconscious,Unconscious,automatic-critical-hits,Automatic Critical Hits,Any attack roll that hits you is a Critical Hit if the attacker is within 5 feet of you.,,,,,Rules Glossary: Unconscious [Condition]
unconscious,Unconscious,unaware,Unaware,You're unaware of your surroundings.,,,,,Rules Glossary: Unconscious [Condition]
